Rising on the horizon(DX),200,らいじんぐおんざほらいずん,TAG,5.0,8.0,12.7,14.4
Tricolor⁂circuS(DX),180,とりころーすさーかす,ああ…翡翠茶漬け…,4.0,7.0,10.7,14.0
Sage(DX),145,さげ,かめりあ,6.0,8.2,12.9,14.5
Swift Swing(DX),150,すいふとすいんぐ,Laur,4.0,8.5,12.5,14.3
HECATONCHEIR(DX),155-180(155),へかとんけいる,Yuta Imai,5.0,8.0,12.7,14.1
N3V3R G3T OV3R(DX),128,ねばーげっとおーばー,C-Show,4.0,7.8,12.0,14.3
パラマウント☆ショータイム！！(DX),222,ぱらまうんとしょーたいむ,翡乃イスカ,5.0,8.0,11.7,14.0
Strive against fate(DX),209,すとらいぶあげいんすとふぇいと,Noah,6.0,7.6,13.2,14.5
Trick tear(DX),222,とりっくてぃあー,しーけー,5.0,8.6,12.5,14.4
U&iVERSE -銀河鸞翔-(DX),140,ゆにばーす,Kai VS 大国奏音 VS 水野健治,5.0,9.0,12.1,14.3
Alcyone(DX),176,あるきおね/あるきゅおねー,PRASTIK DANCEFLOOR,4.0,7.6,12.0,14.0
Raven Emperor(DX),205,れいぶんえんぺらー,Kobaryo,5.0,8.0,12.0,14.5
星詠みとデスペラード(DX),182,ほしよみとですぺらーど,しょご/野村渉悟,5.0,7.6,11.8,14.0
NAGAREBOSHI☆ROCKET(DX),216,ながれぼしろけっと,梅干茶漬け,6.0,8.0,12.0,14.1
ほしぞらスペクタクル(DX),200,ほしぞらすぺくたくる,奏音,5.0,8.0,12.5,14.4
Starry Colors(DX),177,すたーりーからーず,BlackY feat. Risa Yuzuki,4.0,7.8,11.0,14.0
チエルカ／エソテリカ(DX),205,ちえるかえそてりか,ツミキ × 宮下遊,5.0,8.6,12.5,14.3
Xenovcipher(DX),210,ぜのさいふぁー,Juggernaut.,6.0,8.0,12.5,14.3
ワンダーシャッフェンの法則(DX),170,わんだーしゃっふぇんのほうそく,アリスシャッハと魔法の楽団,4.0,7.6,10.7,14.1
BIRTH(DX),176,ばーす,llliiillliiilll,3.0,7.9,12.8,14.5
Mutation(DX),155,みゅーてーしょん,Laur,5.0,8.0,12.0,14.4
≠彡”/了→(DX),222,きみつあー,水野健治,5.0,9.0,12.7,14.4
ARAIS(DX),180,あらいす,千本松 仁,6.0,8.8,12.0,14.4
Sqlupp (Camellia's ”Sqleipd*Hiytex” Remix)(DX),154,すくらっぷかめりあすくらっぷっりみっくす,owl＊tree Remixed by Camellia,5.0,8.0,12.2,14.0
STEEL TRANSONIC(DX),154,すてぃーるとらんそにっく/すちーるとらんそにっく,BlackY vs. WAiKURO,6.0,8.6,13.0,14.3
UniTas(DX),205,うにたす,Masahiro ”Godspeed” Aoki VS Kai,5.0,8.0,11.8,14.4
アポカリプスに反逆の焔を焚べろ(DX),222-333(222),あぽかりぷすにはんぎゃくのほのおをくべろ,cosMo＠暴走AlterEgo,7.0,8.0,12.5,14.5
Ragnarok(STD),184,らぐなろく,sky_delta,7.0,9.3,12.7,14.1
Justified(STD),185,じゃすてぃふぁいど,MintJam feat.光吉猛修,5.0,9.0,12.9,14.0
Moon of Noon(STD),200,むーんおぶぬーん,Sampling Masters MEGA,7.0,9.0,13.1,14.4
Ultranova(STD),156,うるとらのば,A4paper,6.0,8.6,12.9,14.0
天火明命(STD),155,あめのほあかりのみこと,削除,6.0,9.6,13.3,14.0
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？(STD),188,ねえこわれたにんぎょうはどこえすてられるの/ねえこわれたにんぎょうはどこへすてられるの,cosMo＠暴走P,6.0,9.0,13.0,14.5
Lividi(STD),191,りびでぃ,Feryquitous,5.0,9.6,13.2,14.1
分からない(STD),200,わからない,ろん×黒魔,4.0,8.0,11.7,14.0
HERA(STD),185,へら,ルゼ,6.0,9.0,12.9,14.3
CITRUS MONSTER(STD),220,しとらすもんすたー,D-Cee,7.0,9.0,12.9,14.5
Nitrous Fury(STD),144,ないとらすふゅーりー,Jun Senoue,6.0,8.0,12.0,14.0
Jumble Rumble(STD),185,じゃんぶるらんぶる,INNOCENT NOIZE,6.0,8.6,12.9,14.0
Contrapasso -paradiso-(STD),243,こんとらぱっそぱらでぃそ,t+pazolite,6.0,9.0,13.0,14.4
7thSense(STD),150,せぶんすせんす,削除,6.0,8.6,11.8,14.4
Axeria(STD),193,あくせりあ,AcuticNotes,6.0,8.6,12.9,14.5
Aiolos(STD),205,あいおろす,xi,6.0,8.6,12.7,14.3
Oshama Scramble!(STD),190,おしゃますくらんぶる,t+pazolite,6.0,8.6,11.9,14.5
Oshama Scramble!(DX),190,おしゃますくらんぶる,t+pazolite,4.0,8.0,11.4,13.6
Caliburne ～Story of the Legendary sword～(STD),190,かりばーんすとーりーおぶざれじぇんだりーそーど,Project Grimoire,5.0,9.4,12.9,14.3
火炎地獄(STD),216,かえんじごく,山根ミチル,5.0,9.0,12.6,14.1
火炎地獄(DX),216,かえんじごく,山根ミチル,4.0,7.6,12.5,14.1
MYTHOS(STD),158,みゅとす,Cranky feat. まらしぃ ＆ てっぺい先生,5.0,8.6,12.2,14.4
Nerverakes(STD),140,なーぶれいくす,Taishi,7.0,8.0,11.9,14.1
